REF_DATE,GEO,DGUID,Type of product,Type of storage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Mar-70,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,234,,,,0
Mar-70,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,96,,,,0
Apr-70,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,559,,,,0
Apr-70,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,5034,,,,0
Apr-70,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,6525,,,,0
Apr-70,Canada,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,474,,,,0
Apr-70,Maritime provinces,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722343,2.1.1,423,,,,0
Apr-70,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,132,,,,0
Apr-70,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,191,,,,0
Apr-70,Maritime provinces,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,46,,,,0
Apr-70,Quebec,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,35,,,,0
Apr-70,Quebec,,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,1065,,,,0
Apr-70,Quebec,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,704,,,,0
Apr-70,Quebec,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,119,,,,0
Apr-70,Ontario,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,53,,,,0
Apr-70,Ontario,,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,3023,,,,0
Apr-70,Ontario,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,5262,,,,0
Apr-70,Ontario,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,74,,,,0
Apr-70,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,1,,,,0
Apr-70,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,116,,,,0
Apr-70,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,62,,,,0
Apr-70,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,63,,,,0
Apr-70,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,1,,,,0
Apr-70,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,72,,,,0
Apr-70,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,28,,,,0
Apr-70,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,34,,,,0
Apr-70,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,40,,,,0
Apr-70,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,122,,,,0
Apr-70,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,88,,,,0
Apr-70,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,63,,,,0
Apr-70,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,7,,,,0
Apr-70,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,505,,,,0
Apr-70,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,192,,,,0
Apr-70,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,74,,,,0
May-70,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,367,,,,0
May-70,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,2170,,,,0
May-70,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,2387,,,,0
